ID_INDIVIDUO,INGRESO_MENSUAL,VALOR_VIVIENDA_ACTUAL
IND_01,48565.91,2544997.73
IND_02,52093.39,3143365.76
IND_03,16850.82,809971.24
IND_04,26148.91,1525900.72
IND_05,59543.0,2695274.02
IND_06,69203.3,3414239.94
IND_07,34952.8,2129372.23
IND_08,73084.85,3549668.78
IND_09,61900.35,3077621.01
IND_10,27346.03,1693027.9
IND_11,51024.79,3134827.31
IND_12,37888.58,1852421.25
IND_13,26823.01,1318203.94
IND_14,66064.11,3186280.53
IND_15,77756.41,3835795.12
IND_16,30102.99,1534772.45
IND_17,20431.49,1359109.55
IND_18,54230.65,2996581.7
IND_19,62384.53,2875835.25
IND_20,32955.52,2248714.61
IND_21,59544.91,2696066.72
IND_22,48661.39,2642381.84
IND_23,18151.49,1213324.85
IND_24,23961.5,1899272.15
IND_25,27152.88,1427750.05
IND_26,79630.66,3940963.95
IND_27,48843.25,2668248.61
IND_28,52621.32,2926740.66
IND_29,62763.24,3116555.63
IND_30,50227.52,3045221.26
IND_31,74354.98,3394677.43
IND_32,67514.81,3152719.02
IND_33,41194.86,2200549.79
IND_34,38219.58,1836669.92
IND_35,76936.99,3416434.37
IND_36,37336.05,2350746.24
IND_37,71231.49,3745781.5
IND_38,68968.05,2868259.24
IND_39,49980.49,2797265.6
IND_40,74960.51,3971283.07
IND_41,21314.52,997458.57
IND_42,21685.09,1599020.06
IND_43,60597.97,2660030.33
IND_44,72881.19,3456129.78
IND_45,25371.42,1401080.2
IND_46,32912.22,1902501.88
IND_47,58711.95,3040159.93
IND_48,25679.7,1510959.31
IND_49,60589.12,2812711.56
IND_50,46696.29,2786830.63
