"ID","NOM","FECHA_HORA","T","H"
"EST01","San Pedro",2025-01-01,24.4,56
"EST01","San Pedro",2025-01-01 00:15:00,19,59
"EST01","San Pedro",2025-01-01 00:30:00,22.1,61
"EST01","San Pedro",2025-01-01 00:45:00,23.2,55
"EST01","San Pedro",2025-01-01 01:00:00,22.8,58
"EST01","San Pedro",2025-01-01 01:15:00,21.6,56
"EST01","San Pedro",2025-01-01 01:30:00,26.7,61
"EST01","San Pedro",2025-01-01 01:45:00,22.2,57
"EST01","San Pedro",2025-01-01 02:00:00,28.8,72
"EST01","San Pedro",2025-01-01 02:15:00,22.9,56
"EST01","San Pedro",2025-01-01 02:30:00,27.2,51
"EST01","San Pedro",2025-01-01 02:45:00,30.4,59
"EST01","San Pedro",2025-01-01 03:00:00,19.6,46
"EST01","San Pedro",2025-01-01 03:15:00,23.1,63
"EST01","San Pedro",2025-01-01 03:30:00,23.8,51
"EST01","San Pedro",2025-01-01 03:45:00,26.2,47
"EST01","San Pedro",2025-01-01 04:00:00,23.6,51
"EST01","San Pedro",2025-01-01 04:15:00,16.7,52
"EST01","San Pedro",2025-01-01 04:30:00,17.4,50
"EST01","San Pedro",2025-01-01 04:45:00,28.8,48
"EST01","San Pedro",2025-01-01 05:00:00,24,54
"EST01","San Pedro",2025-01-01 05:15:00,19.6,43
"EST01","San Pedro",2025-01-01 05:30:00,24.5,51
"EST01","San Pedro",2025-01-01 05:45:00,28.6,47
"EST01","San Pedro",2025-01-01 06:00:00,30.7,44
"EST01","San Pedro",2025-01-01 06:15:00,23.7,51
"EST01","San Pedro",2025-01-01 06:30:00,24.1,52
"EST01","San Pedro",2025-01-01 06:45:00,19.5,58
"EST01","San Pedro",2025-01-01 07:00:00,26.1,51
"EST01","San Pedro",2025-01-01 07:15:00,22.7,57
"EST01","San Pedro",2025-01-01 07:30:00,25.9,47
"EST01","San Pedro",2025-01-01 07:45:00,26.4,37
"EST01","San Pedro",2025-01-01 08:00:00,27.3,56
"EST01","San Pedro",2025-01-01 08:15:00,22.1,56
"EST01","San Pedro",2025-01-01 08:30:00,25.3,54
"EST01","San Pedro",2025-01-01 08:45:00,18.4,45
"EST01","San Pedro",2025-01-01 09:00:00,20.9,60
"EST01","San Pedro",2025-01-01 09:15:00,20.5,56
"EST01","San Pedro",2025-01-01 09:30:00,15.5,60
"EST01","San Pedro",2025-01-01 09:45:00,22.6,63
"EST01","San Pedro",2025-01-01 10:00:00,22.8,47
"EST01","San Pedro",2025-01-01 10:15:00,20.8,61
"EST01","San Pedro",2025-01-01 10:30:00,23.9,64
"EST01","San Pedro",2025-01-01 10:45:00,19.1,60
"EST01","San Pedro",2025-01-01 11:00:00,16.9,65
"EST01","San Pedro",2025-01-01 11:15:00,22,64
"EST01","San Pedro",2025-01-01 11:30:00,17.9,66
"EST01","San Pedro",2025-01-01 11:45:00,24.3,62
"EST01","San Pedro",2025-01-01 12:00:00,18.4,63
"EST01","San Pedro",2025-01-01 12:15:00,21.3,60
"EST01","San Pedro",2025-01-01 12:30:00,20,65
"EST01","San Pedro",2025-01-01 12:45:00,16.4,73
"EST01","San Pedro",2025-01-01 13:00:00,23.1,69
"EST01","San Pedro",2025-01-01 13:15:00,20,77
"EST01","San Pedro",2025-01-01 13:30:00,18.1,65
"EST01","San Pedro",2025-01-01 13:45:00,18.3,64
"EST01","San Pedro",2025-01-01 14:00:00,19.3,76
"EST01","San Pedro",2025-01-01 14:15:00,17.2,78
"EST01","San Pedro",2025-01-01 14:30:00,7.7,83
"EST01","San Pedro",2025-01-01 14:45:00,17.3,71
"EST01","San Pedro",2025-01-01 15:00:00,15.1,88
"EST01","San Pedro",2025-01-01 15:15:00,16.6,71
"EST01","San Pedro",2025-01-01 15:30:00,17.6,80
"EST01","San Pedro",2025-01-01 15:45:00,19.9,73
"EST01","San Pedro",2025-01-01 16:00:00,13.3,85
"EST01","San Pedro",2025-01-01 16:15:00,19.3,75
"EST01","San Pedro",2025-01-01 16:30:00,16.3,82
"EST01","San Pedro",2025-01-01 16:45:00,18.3,80
"EST01","San Pedro",2025-01-01 17:00:00,17.9,77
"EST01","San Pedro",2025-01-01 17:15:00,17.2,84
"EST01","San Pedro",2025-01-01 17:30:00,11.9,81
"EST01","San Pedro",2025-01-01 17:45:00,14.7,85
"EST01","San Pedro",2025-01-01 18:00:00,16.9,79
"EST01","San Pedro",2025-01-01 18:15:00,12.2,73
"EST01","San Pedro",2025-01-01 18:30:00,13.5,76
"EST01","San Pedro",2025-01-01 18:45:00,16.9,85
"EST01","San Pedro",2025-01-01 19:00:00,17.6,87
"EST01","San Pedro",2025-01-01 19:15:00,16.8,76
"EST01","San Pedro",2025-01-01 19:30:00,12.9,78
"EST01","San Pedro",2025-01-01 19:45:00,12.4,79
"EST01","San Pedro",2025-01-01 20:00:00,20.4,77
"EST01","San Pedro",2025-01-01 20:15:00,16.8,68
"EST01","San Pedro",2025-01-01 20:30:00,16.5,75
"EST01","San Pedro",2025-01-01 20:45:00,16.1,74
"EST01","San Pedro",2025-01-01 21:00:00,13.1,81
"EST01","San Pedro",2025-01-01 21:15:00,18.8,72
"EST01","San Pedro",2025-01-01 21:30:00,16.6,74
"EST01","San Pedro",2025-01-01 21:45:00,17,62
"EST01","San Pedro",2025-01-01 22:00:00,20.6,80
"EST01","San Pedro",2025-01-01 22:15:00,20.6,74
"EST01","San Pedro",2025-01-01 22:30:00,22.6,65
"EST01","San Pedro",2025-01-01 22:45:00,17.3,67
"EST01","San Pedro",2025-01-01 23:00:00,21,67
"EST01","San Pedro",2025-01-01 23:15:00,23.5,68
"EST01","San Pedro",2025-01-01 23:30:00,16.3,73
"EST01","San Pedro",2025-01-01 23:45:00,17.4,59
"EST01","San Pedro",2025-01-02,16.9,65
"EST01","San Pedro",2025-01-02 00:15:00,16.3,66
"EST01","San Pedro",2025-01-02 00:30:00,21.2,50
"EST01","San Pedro",2025-01-02 00:45:00,23.3,64
"EST01","San Pedro",2025-01-02 01:00:00,25.2,67
"EST01","San Pedro",2025-01-02 01:15:00,25,61
"EST01","San Pedro",2025-01-02 01:30:00,19.2,60
"EST01","San Pedro",2025-01-02 01:45:00,28,56
"EST01","San Pedro",2025-01-02 02:00:00,20.8,58
"EST01","San Pedro",2025-01-02 02:15:00,23.4,65
"EST01","San Pedro",2025-01-02 02:30:00,22,49
"EST01","San Pedro",2025-01-02 02:45:00,23.2,56
"EST01","San Pedro",2025-01-02 03:00:00,24.3,46
"EST01","San Pedro",2025-01-02 03:15:00,24.3,54
"EST01","San Pedro",2025-01-02 03:30:00,24.1,59
"EST01","San Pedro",2025-01-02 03:45:00,24.7,56
"EST01","San Pedro",2025-01-02 04:00:00,23,45
"EST01","San Pedro",2025-01-02 04:15:00,23.1,59
"EST01","San Pedro",2025-01-02 04:30:00,19.8,57
"EST01","San Pedro",2025-01-02 04:45:00,23.7,52
"EST01","San Pedro",2025-01-02 05:00:00,23.4,46
"EST01","San Pedro",2025-01-02 05:15:00,33.1,48
"EST01","San Pedro",2025-01-02 05:30:00,20.9,43
"EST01","San Pedro",2025-01-02 05:45:00,25.4,48
"EST01","San Pedro",2025-01-02 06:00:00,20.5,54
"EST01","San Pedro",2025-01-02 06:15:00,20.5,55
"EST01","San Pedro",2025-01-02 06:30:00,25.3,53
"EST01","San Pedro",2025-01-02 06:45:00,21.8,54
"EST01","San Pedro",2025-01-02 07:00:00,24.7,59
"EST01","San Pedro",2025-01-02 07:15:00,23.3,59
"EST01","San Pedro",2025-01-02 07:30:00,22.6,57
"EST01","San Pedro",2025-01-02 07:45:00,18.3,55
"EST01","San Pedro",2025-01-02 08:00:00,20.5,59
"EST01","San Pedro",2025-01-02 08:15:00,24.5,52
"EST01","San Pedro",2025-01-02 08:30:00,25.5,58
"EST01","San Pedro",2025-01-02 08:45:00,22.1,58
"EST01","San Pedro",2025-01-02 09:00:00,23.3,52
"EST01","San Pedro",2025-01-02 09:15:00,26.4,57
"EST01","San Pedro",2025-01-02 09:30:00,27.1,60
"EST01","San Pedro",2025-01-02 09:45:00,19.2,47
"EST01","San Pedro",2025-01-02 10:00:00,21.9,56
"EST01","San Pedro",2025-01-02 10:15:00,25.5,52
"EST01","San Pedro",2025-01-02 10:30:00,20.2,69
"EST01","San Pedro",2025-01-02 10:45:00,21.1,63
"EST01","San Pedro",2025-01-02 11:00:00,20.7,77
"EST01","San Pedro",2025-01-02 11:15:00,18,63
"EST01","San Pedro",2025-01-02 11:30:00,19,63
"EST01","San Pedro",2025-01-02 11:45:00,19.9,58
"EST01","San Pedro",2025-01-02 12:00:00,18.4,70
"EST01","San Pedro",2025-01-02 12:15:00,22.7,65
"EST01","San Pedro",2025-01-02 12:30:00,17.6,66
"EST01","San Pedro",2025-01-02 12:45:00,17.4,70
"EST01","San Pedro",2025-01-02 13:00:00,20.5,67
"EST01","San Pedro",2025-01-02 13:15:00,14.9,60
"EST01","San Pedro",2025-01-02 13:30:00,17.7,73
"EST01","San Pedro",2025-01-02 13:45:00,12.8,80
"EST01","San Pedro",2025-01-02 14:00:00,20.7,80
"EST01","San Pedro",2025-01-02 14:15:00,16.1,75
"EST01","San Pedro",2025-01-02 14:30:00,15.3,77
"EST01","San Pedro",2025-01-02 14:45:00,12.7,74
"EST01","San Pedro",2025-01-02 15:00:00,16.2,77
"EST01","San Pedro",2025-01-02 15:15:00,13.6,80
"EST01","San Pedro",2025-01-02 15:30:00,14.2,77
"EST01","San Pedro",2025-01-02 15:45:00,19.5,86
"EST01","San Pedro",2025-01-02 16:00:00,15,77
"EST01","San Pedro",2025-01-02 16:15:00,12.2,79
"EST01","San Pedro",2025-01-02 16:30:00,15.8,84
"EST01","San Pedro",2025-01-02 16:45:00,14.1,68
"EST01","San Pedro",2025-01-02 17:00:00,16.9,79
"EST01","San Pedro",2025-01-02 17:15:00,19.3,79
"EST01","San Pedro",2025-01-02 17:30:00,12,85
"EST01","San Pedro",2025-01-02 17:45:00,16.4,76
"EST01","San Pedro",2025-01-02 18:00:00,15.3,78
"EST01","San Pedro",2025-01-02 18:15:00,17.7,76
"EST01","San Pedro",2025-01-02 18:30:00,14.4,80
"EST01","San Pedro",2025-01-02 18:45:00,17.7,87
"EST01","San Pedro",2025-01-02 19:00:00,10,74
"EST01","San Pedro",2025-01-02 19:15:00,20.4,78
"EST01","San Pedro",2025-01-02 19:30:00,18.1,87
"EST01","San Pedro",2025-01-02 19:45:00,15.2,76
"EST01","San Pedro",2025-01-02 20:00:00,11.5,71
"EST01","San Pedro",2025-01-02 20:15:00,18,79
"EST01","San Pedro",2025-01-02 20:30:00,17.7,75
"EST01","San Pedro",2025-01-02 20:45:00,16.4,71
"EST01","San Pedro",2025-01-02 21:00:00,17.2,81
"EST01","San Pedro",2025-01-02 21:15:00,15.2,77
"EST01","San Pedro",2025-01-02 21:30:00,18.3,80
"EST01","San Pedro",2025-01-02 21:45:00,18.4,72
"EST01","San Pedro",2025-01-02 22:00:00,17,73
"EST01","San Pedro",2025-01-02 22:15:00,14.1,78
"EST01","San Pedro",2025-01-02 22:30:00,20.5,67
"EST01","San Pedro",2025-01-02 22:45:00,20.4,72
"EST01","San Pedro",2025-01-02 23:00:00,16.5,66
"EST01","San Pedro",2025-01-02 23:15:00,14.6,70
"EST01","San Pedro",2025-01-02 23:30:00,20.3,68
"EST01","San Pedro",2025-01-02 23:45:00,19,64
"EST01","San Pedro",2025-01-03,21.1,68
"EST01","San Pedro",2025-01-03 00:15:00,16.8,69
"EST01","San Pedro",2025-01-03 00:30:00,18.1,64
"EST01","San Pedro",2025-01-03 00:45:00,24.6,65
"EST01","San Pedro",2025-01-03 01:00:00,22.8,56
"EST01","San Pedro",2025-01-03 01:15:00,23.7,60
"EST01","San Pedro",2025-01-03 01:30:00,27.7,54
"EST01","San Pedro",2025-01-03 01:45:00,22.9,57
"EST01","San Pedro",2025-01-03 02:00:00,16.8,51
"EST01","San Pedro",2025-01-03 02:15:00,24,57
"EST01","San Pedro",2025-01-03 02:30:00,26.8,53
"EST01","San Pedro",2025-01-03 02:45:00,29.7,48
"EST01","San Pedro",2025-01-03 03:00:00,19.6,56
"EST01","San Pedro",2025-01-03 03:15:00,20.5,46
"EST01","San Pedro",2025-01-03 03:30:00,22,45
"EST01","San Pedro",2025-01-03 03:45:00,21.2,53
"EST01","San Pedro",2025-01-03 04:00:00,22.5,41
"EST01","San Pedro",2025-01-03 04:15:00,24.1,52
"EST01","San Pedro",2025-01-03 04:30:00,21.1,57
"EST01","San Pedro",2025-01-03 04:45:00,30.9,55
"EST01","San Pedro",2025-01-03 05:00:00,25.2,54
"EST01","San Pedro",2025-01-03 05:15:00,24.7,41
"EST01","San Pedro",2025-01-03 05:30:00,26.5,54
"EST01","San Pedro",2025-01-03 05:45:00,25.1,50
"EST01","San Pedro",2025-01-03 06:00:00,24.6,50
"EST01","San Pedro",2025-01-03 06:15:00,29.4,57
"EST01","San Pedro",2025-01-03 06:30:00,24.3,45
"EST01","San Pedro",2025-01-03 06:45:00,21,49
"EST01","San Pedro",2025-01-03 07:00:00,25.9,56
"EST01","San Pedro",2025-01-03 07:15:00,23.6,49
"EST01","San Pedro",2025-01-03 07:30:00,22.9,58
"EST01","San Pedro",2025-01-03 07:45:00,21.1,52
"EST01","San Pedro",2025-01-03 08:00:00,25.4,51
"EST01","San Pedro",2025-01-03 08:15:00,23.4,57
"EST01","San Pedro",2025-01-03 08:30:00,25.3,54
"EST01","San Pedro",2025-01-03 08:45:00,22.8,54
"EST01","San Pedro",2025-01-03 09:00:00,21.3,56
"EST01","San Pedro",2025-01-03 09:15:00,26.8,48
"EST01","San Pedro",2025-01-03 09:30:00,22,53
"EST01","San Pedro",2025-01-03 09:45:00,25.3,58
"EST01","San Pedro",2025-01-03 10:00:00,18.6,60
"EST01","San Pedro",2025-01-03 10:15:00,20.5,63
"EST01","San Pedro",2025-01-03 10:30:00,20.8,53
"EST01","San Pedro",2025-01-03 10:45:00,20.1,70
"EST01","San Pedro",2025-01-03 11:00:00,25,68
"EST01","San Pedro",2025-01-03 11:15:00,20.6,62
"EST01","San Pedro",2025-01-03 11:30:00,21.1,50
