ID,NOM,FECHA_HORA,T,H
EST01,San Pedro,2026-01-01 00:00:00,20.7,61
EST01,San Pedro,2026-01-01 00:15:00,19.5,76
EST01,San Pedro,2026-01-01 00:30:00,21.9,64
EST01,San Pedro,2026-01-01 00:45:00,24.5,65
EST01,San Pedro,2026-01-01 01:00:00,20.5,60
EST01,San Pedro,2026-01-01 01:15:00,20.8,68
EST01,San Pedro,2026-01-01 01:30:00,25.7,60
EST01,San Pedro,2026-01-01 01:45:00,24.1,60
EST01,San Pedro,2026-01-01 02:00:00,21.3,63
EST01,San Pedro,2026-01-01 02:15:00,24.2,57
EST01,San Pedro,2026-01-01 02:30:00,22.0,60
EST01,San Pedro,2026-01-01 02:45:00,22.3,66
EST01,San Pedro,2026-01-01 03:00:00,24.3,61
EST01,San Pedro,2026-01-01 03:15:00,19.2,60
EST01,San Pedro,2026-01-01 03:30:00,19.9,59
EST01,San Pedro,2026-01-01 03:45:00,23.1,56
EST01,San Pedro,2026-01-01 04:00:00,22.2,67
EST01,San Pedro,2026-01-01 04:15:00,25.7,54
EST01,San Pedro,2026-01-01 04:30:00,22.8,58
EST01,San Pedro,2026-01-01 04:45:00,21.7,57
EST01,San Pedro,2026-01-01 05:00:00,29.0,61
EST01,San Pedro,2026-01-01 05:15:00,24.8,61
EST01,San Pedro,2026-01-01 05:30:00,25.6,56
EST01,San Pedro,2026-01-01 05:45:00,21.9,57
EST01,San Pedro,2026-01-01 06:00:00,24.1,57
EST01,San Pedro,2026-01-01 06:15:00,25.8,46
EST01,San Pedro,2026-01-01 06:30:00,22.6,49
EST01,San Pedro,2026-01-01 06:45:00,26.3,54
EST01,San Pedro,2026-01-01 07:00:00,23.8,54
EST01,San Pedro,2026-01-01 07:15:00,24.5,51
EST01,San Pedro,2026-01-01 07:30:00,23.5,60
EST01,San Pedro,2026-01-01 07:45:00,29.5,57
EST01,San Pedro,2026-01-01 08:00:00,24.7,57
EST01,San Pedro,2026-01-01 08:15:00,21.8,52
EST01,San Pedro,2026-01-01 08:30:00,26.3,58
EST01,San Pedro,2026-01-01 08:45:00,21.0,47
EST01,San Pedro,2026-01-01 09:00:00,24.3,59
EST01,San Pedro,2026-01-01 09:15:00,18.6,60
EST01,San Pedro,2026-01-01 09:30:00,19.8,62
EST01,San Pedro,2026-01-01 09:45:00,23.3,54
EST01,San Pedro,2026-01-01 10:00:00,24.3,63
EST01,San Pedro,2026-01-01 10:15:00,22.6,58
EST01,San Pedro,2026-01-01 10:30:00,21.5,60
EST01,San Pedro,2026-01-01 10:45:00,20.7,67
EST01,San Pedro,2026-01-01 11:00:00,17.4,74
EST01,San Pedro,2026-01-01 11:15:00,18.9,66
EST01,San Pedro,2026-01-01 11:30:00,19.1,63
EST01,San Pedro,2026-01-01 11:45:00,22.5,68
EST01,San Pedro,2026-01-01 12:00:00,20.4,72
EST01,San Pedro,2026-01-01 12:15:00,14.7,72
EST01,San Pedro,2026-01-01 12:30:00,19.5,82
EST01,San Pedro,2026-01-01 12:45:00,17.4,67
EST01,San Pedro,2026-01-01 13:00:00,16.3,72
EST01,San Pedro,2026-01-01 13:15:00,19.1,79
EST01,San Pedro,2026-01-01 13:30:00,19.8,79
EST01,San Pedro,2026-01-01 13:45:00,19.2,65
EST01,San Pedro,2026-01-01 14:00:00,14.4,74
EST01,San Pedro,2026-01-01 14:15:00,15.4,81
EST01,San Pedro,2026-01-01 14:30:00,16.7,88
EST01,San Pedro,2026-01-01 14:45:00,18.0,79
EST01,San Pedro,2026-01-01 15:00:00,14.1,75
EST01,San Pedro,2026-01-01 15:15:00,14.5,72
EST01,San Pedro,2026-01-01 15:30:00,12.0,88
EST01,San Pedro,2026-01-01 15:45:00,11.5,81
EST01,San Pedro,2026-01-01 16:00:00,16.3,75
